ID,Class
6284,S
6285,E
6286,I
6287,O
6288,T
6289,N
6290,O
6291,A
6292,B
6293,H
6294,N
6295,n
6296,H
6297,S
6298,e
6299,S
6300,A
6301,R
6302,M
6303,S
6304,N
6305,3
6306,A
6307,A
6308,R
6309,S
6310,G
6311,u
6312,L
6313,0
6314,A
6315,W
6316,O
6317,L
6318,I
6319,A
6320,C
6321,A
6322,O
6323,i
6324,I
6325,D
6326,A
6327,A
6328,2
6329,I
6330,L
6331,T
6332,T
6333,V
6334,E
6335,G
6336,i
6337,a
6338,N
6339,O
6340,O
6341,S
6342,n
6343,8
6344,2
6345,E
6346,S
6347,3
6348,A
6349,E
6350,E
6351,N
6352,W
6353,i
6354,O
6355,6
6356,O
6357,A
6358,r
6359,N
6360,A
6361,M
6362,O
6363,R
6364,N
6365,N
6366,O
6367,E
6368,S
6369,I
6370,Y
6371,E
6372,N
6373,R
6374,A
6375,N
6376,E
6377,A
6378,C
6379,S
6380,E
6381,M
6382,O
6383,E
6384,R
6385,D
6386,S
6387,G
6388,n
6389,O
6390,A
6391,G
6392,T
6393,e
6394,A
6395,P
6396,A
6397,m
6398,E
6399,A
6400,T
6401,N
6402,S
6403,E
6404,T
6405,E
6406,h
6407,m
6408,E
6409,C
6410,N
6411,C
6412,2
6413,O
6414,R
6415,S
6416,L
6417,O
6418,R
6419,N
6420,A
6421,N
6422,O
6423,N
6424,A
6425,R
6426,8
6427,4
6428,A
6429,O
6430,2
6431,N
6432,N
6433,S
6434,3
6435,O
6436,O
6437,T
6438,S
6439,O
6440,S
6441,S
6442,T
6443,O
6444,S
6445,T
6446,E
6447,A
6448,S
6449,A
6450,I
6451,L
6452,n
6453,A
6454,R
6455,E
6456,R
6457,B
6458,I
6459,T
6460,O
6461,N
6462,A
6463,A
6464,O
6465,n
6466,M
6467,C
6468,A
6469,n
6470,u
6471,E
6472,A
6473,E
6474,A
6475,A
6476,A
6477,A
6478,O
6479,A
6480,X
6481,T
6482,T
6483,S
6484,O
6485,N
6486,9
6487,O
6488,F
6489,C
6490,E
6491,O
6492,h
6493,A
6494,v
6495,E
6496,R
6497,l
6498,M
6499,C
6500,A
6501,i
6502,O
6503,T
6504,A
6505,A
6506,q
6507,I
6508,R
6509,E
6510,H
6511,T
6512,S
6513,I
6514,L
6515,S
6516,T
6517,S
6518,N
6519,I
6520,O
6521,n
6522,R
6523,O
6524,A
6525,L
6526,E
6527,e
6528,O
6529,I
6530,I
6531,2
6532,M
6533,S
6534,a
6535,C
6536,I
6537,R
6538,t
6539,G
6540,N
6541,C
6542,R
6543,E
6544,O
6545,h
6546,e
6547,O
6548,L
6549,E
6550,A
6551,M
6552,N
6553,O
6554,R
6555,n
6556,w
6557,O
6558,A
6559,I
6560,A
6561,S
6562,T
6563,O
6564,O
6565,E
6566,A
6567,X
6568,T
6569,C
6570,E
6571,N
6572,O
6573,S
6574,T
6575,I
6576,H
6577,O
6578,O
6579,E
6580,A
6581,X
6582,R
6583,N
6584,O
6585,T
6586,1
6587,M
6588,S
6589,C
6590,B
6591,E
6592,S
6593,E
6594,R
6595,R
6596,d
6597,O
6598,S
6599,C
6600,O
6601,O
6602,A
6603,E
6604,I
6605,S
6606,T
6607,C
6608,I
6609,T
6610,H
6611,C
6612,A
6613,A
6614,O
6615,R
6616,O
6617,n
6618,M
6619,e
6620,A
6621,u
6622,L
6623,O
6624,m
6625,C
6626,G
6627,R
6628,O
6629,I
6630,S
6631,O
6632,T
6633,2
6634,m
6635,B
6636,E
6637,O
6638,T
6639,E
6640,I
6641,T
6642,P
6643,E
6644,E
6645,B
6646,I
6647,N
6648,S
6649,N
6650,P
6651,e
6652,T
6653,O
6654,N
6655,P
6656,R
6657,P
6658,M
6659,E
6660,T
6661,S
6662,E
6663,H
6664,R
6665,S
6666,R
6667,A
6668,A
6669,O
6670,E
6671,O
6672,C
6673,O
6674,R
6675,P
6676,I
6677,I
6678,P
